7zip 24.09-3
haskell-djot 0.1.1.3-11
haskell-dlist 1.0-259
haskell-doclayout 0.4.0.1-43
haskell-doctemplates 0.11-98
haskell-dotgen 0.4.3-9
haskell-easy-file 0.2.5-34
haskell-either 5.0.2-142
haskell-emojis 0.1.4-9
haskell-erf 2.0.0.0-25
haskell-fast-logger 3.1.2-104
haskell-fgl 5.8.3.0-12
haskell-file-embed 0.0.15.0-2
haskell-foldable1-classes-compat 0.1-123
haskell-generically 0.1.1-2
haskell-ghc-bignum-orphans 0.1.1-2
haskell-glob 0.10.2-103
haskell-gridtables 0.1.0.0-62
haskell-haddock-library 1.11.0-51
haskell-half 0.3.2-3
haskell-hashable 1.4.4.0-45
haskell-hourglass 0.2.12-259
haskell-hslua 2.3.0-79
haskell-hslua-aeson 2.3.0.1-61
haskell-hslua-classes 2.3.0-77
haskell-hslua-core 2.3.1-69
haskell-hslua-list 1.1.3-5
haskell-hslua-marshalling 2.3.1-29
haskell-hslua-module-doclayout 1.1.0-89
haskell-hslua-module-path 1.1.0-82
haskell-hslua-module-system 1.1.0.1-51
haskell-hslua-module-text 1.1.0.1-52
haskell-hslua-module-version 1.1.1-21
haskell-hslua-module-zip 1.1.1-48
haskell-hslua-objectorientation 2.3.0-73
haskell-hslua-packaging 2.3.1-38
haskell-hslua-repl 0.1.2-35
haskell-hslua-typing 0.1.1-31
haskell-hsyaml 0.2.1.3-16
haskell-hsyaml-aeson 0.2.0.1-200
haskell-http-api-data 0.5.1-77
haskell-http-client 0.7.17-19
haskell-http-client-tls 0.3.6.3-89
haskell-http-date 0.0.11-149
haskell-http-media 0.8.1.1-27
haskell-http-types 0.12.4-29
haskell-http2 4.1.0-53
haskell-hunit 1.6.2.0-253
haskell-indexed-traversable 0.1.4-36
haskell-indexed-traversable-instances 0.1.2-18
haskell-integer-logarithms 1.0.3.1-7
haskell-iproute 1.7.14-9
haskell-ipynb 0.2-165
haskell-isocline 1.0.9-2
haskell-jira-wiki-markup 1.5.1-35
haskell-juicypixels 3.3.9-1
haskell-lens-family-core 2.1.3-2
haskell-lexer 1.1.1-2
haskell-libyaml 0.1.4-39
haskell-lpeg 1.0.4-40
haskell-lua 2.3.3-12
haskell-megaparsec 9.6.1-12
haskell-memory 0.18.0-21
haskell-mime-types 0.1.2.0-2
haskell-mmorph 1.2.0-6
haskell-monad-control 1.0.3.1-115
haskell-mono-traversable 1.0.21.0-12
haskell-network 3.1.4.0-33
haskell-network-byte-order 0.1.7-2
haskell-network-uri 2.6.4.2-44
haskell-old-locale 1.0.0.7-31
haskell-old-time 1.1.0.4-3
haskell-onetuple 0.4.1.1-26
haskell-only 0.1-23
haskell-optparse-applicative 0.17.1.0-56
haskell-ordered-containers 0.2.4-13
haskell-os-string 2.0.7-6
haskell-pandoc 3.1.12.1-23
haskell-pandoc-lua-engine 0.2.1.2-103
haskell-pandoc-lua-marshal 0.2.7-22
haskell-pandoc-server 0.1.0.5-121
haskell-pandoc-types 1.23.1-47
haskell-parser-combinators 1.3.0-5
haskell-parsers 0.12.12-7
haskell-pem 0.2.4-299
haskell-pretty-show 1.10-16
haskell-pretty-simple 4.1.2.0-99
haskell-prettyprinter 1.7.1-188
haskell-prettyprinter-ansi-terminal 1.1.3-191
haskell-primitive 0.7.4.0-137
haskell-profunctors 5.6.2-196
haskell-psqueues 0.2.8.1-1
haskell-quickcheck 2.14.3-102
haskell-random 1.2.1.2-46
haskell-recv 0.1.0-43
haskell-regex-base 0.94.0.3-1
haskell-regex-tdfa 1.3.2.2-60
haskell-repline 0.4.2.0-2
haskell-resourcet 1.2.6-64
haskell-safe 0.3.21-18
haskell-safe-exceptions 0.1.7.4-34
haskell-scientific 0.3.7.0-126
haskell-semialign 1.3-6
haskell-semigroupoids 6.0.0.1-5
haskell-serialise 0.2.6.1-55
haskell-servant 0.20.2-21
haskell-servant-server 0.20.2-33
haskell-sha 1.6.4.4-20
haskell-simple-sendfile 0.2.32-69
haskell-singleton-bool 0.1.7-4
haskell-skylighting 0.14.1.1-27
haskell-skylighting-core 0.14.1.1-25
haskell-skylighting-format-ansi 0.1-159
haskell-skylighting-format-blaze-html 0.1.1.3-13
haskell-skylighting-format-context 0.1.0.2-123
haskell-skylighting-format-latex 0.1-158
haskell-socks 0.6.1-250
haskell-some 1.0.5-2
haskell-sop-core 0.5.0.2-2
haskell-split 0.2.5-19
haskell-splitmix 0.1.0.5-49
haskell-statevar 1.2.2-3
haskell-streaming-commons 0.2.2.6-39
haskell-strict 0.5-8
haskell-string-conversions 0.4.0.1-184
haskell-syb 0.7.2.4-28
haskell-tagged 0.8.9-1
haskell-tagsoup 0.14.8-239
haskell-temporary 1.3-628
haskell-texmath 0.12.8.7-14
haskell-text-conversions 0.3.1.1-76
haskell-text-icu 0.8.0.5-16
haskell-text-manipulate 0.3.1.0-78
haskell-text-short 0.1.6-12
